vaccinated,pox_status,pox_aware,alive,race,age_bucket,new_state,new_prob
0,0,0,1,0,1,1,0.0005
0,0,0,1,0,2,1,0.001
0,0,0,1,0,3,1,0.0006
0,0,0,1,0,4,1,0.0005
0,0,0,1,0,5,1,0.00025
0,0,0,1,1,1,1,0.000325
0,0,0,1,1,2,1,0.00065
0,0,0,1,1,3,1,0.00039
0,0,0,1,1,4,1,0.000325
0,0,0,1,1,5,1,0.0001625
0,0,0,1,2,1,1,0.00075
0,0,0,1,2,2,1,0.0015
0,0,0,1,2,3,1,0.0009
0,0,0,1,2,4,1,0.00075
0,0,0,1,2,5,1,0.000375
0,1,0,1,0,1,1,0.0005
0,1,0,1,0,2,1,0.001
0,1,0,1,0,3,1,0.0006
0,1,0,1,0,4,1,0.0005
0,1,0,1,0,5,1,0.00025
0,1,0,1,1,1,1,0.000325
0,1,0,1,1,2,1,0.00065
0,1,0,1,1,3,1,0.00039
0,1,0,1,1,4,1,0.000325
0,1,0,1,1,5,1,0.0001625
0,1,0,1,2,1,1,0.00075
0,1,0,1,2,2,1,0.0015
0,1,0,1,2,3,1,0.0009
0,1,0,1,2,4,1,0.00075
0,1,0,1,2,5,1,0.000375
0,1,1,1,0,1,1,0.95
0,1,1,1,0,2,1,0.95
0,1,1,1,0,3,1,0.95
0,1,1,1,0,4,1,0.95
0,1,1,1,0,5,1,0.95
0,1,1,1,1,1,1,0.95
0,1,1,1,1,2,1,0.95
0,1,1,1,1,3,1,0.95
0,1,1,1,1,4,1,0.95
0,1,1,1,1,5,1,0.95
0,1,1,1,2,1,1,0.95
0,1,1,1,2,2,1,0.95
0,1,1,1,2,3,1,0.95
0,1,1,1,2,4,1,0.95
0,1,1,1,2,5,1,0.95
